tick,type,king,invest,wealth_created,employer,knight,amount,merc,stake,p_knight,agent,trait,delta
1,trade,K-01,100.0,5.0,,,,,,,,,
1,trade,K-02,100.0,5.0,,,,,,,,,
1,retainer,,,,K-01,N-07,0.0,,,,,,
1,retainer,,,,K-02,N-11,0.0,,,,,,
1,defend_win,K-01,,,,N-07,,M-12,25.0,0.95,,,
1,defend_win,K-01,,,,N-07,,M-19,25.0,0.95,,,
2,trait_drip,,,,,,,,,,K-01,copy,1.0
2,trait_drip,,,,,,,,,,K-02,copy,1.0
2,trade,K-01,100.0,5.0,,,,,,,,,
2,trade,K-02,100.0,5.0,,,,,,,,,
2,retainer,,,,K-01,N-07,0.0,,,,,,
2,retainer,,,,K-02,N-11,0.0,,,,,,
2,defend_win,K-01,,,,N-07,,M-12,27.0,0.95,,,
2,defend_win,K-01,,,,N-07,,M-19,28.0,0.95,,,
3,trade,K-01,100.0,5.0,,,,,,,,,
3,trade,K-02,100.0,5.0,,,,,,,,,
3,retainer,,,,K-01,N-07,0.0,,,,,,
3,retainer,,,,K-02,N-11,0.0,,,,,,
3,defend_win,K-01,,,,N-07,,M-12,31.0,0.95,,,
3,defend_win,K-01,,,,N-07,,M-19,34.0,0.95,,,
4,trait_drip,,,,,,,,,,K-01,copy,1.0
4,trait_drip,,,,,,,,,,K-02,copy,1.0
4,trade,K-01,100.0,5.0,,,,,,,,,
4,trade,K-02,100.0,5.0,,,,,,,,,
4,retainer,,,,K-01,N-07,0.0,,,,,,
4,retainer,,,,K-02,N-11,0.0,,,,,,
4,defend_win,K-01,,,,N-07,,M-12,38.0,0.95,,,
4,defend_win,K-01,,,,N-07,,M-19,41.0,0.95,,,
5,trade,K-01,100.0,5.0,,,,,,,,,
5,trade,K-02,100.0,5.0,,,,,,,,,
5,retainer,,,,K-01,N-07,0.0,,,,,,
5,retainer,,,,K-02,N-11,0.0,,,,,,
5,defend_win,K-01,,,,N-07,,M-12,45.0,0.95,,,
5,defend_win,K-01,,,,N-07,,M-19,50.0,0.95,,,
6,trait_drip,,,,,,,,,,K-01,copy,1.0
6,trait_drip,,,,,,,,,,K-02,copy,1.0
6,trade,K-01,100.0,5.0,,,,,,,,,
6,trade,K-02,100.0,5.0,,,,,,,,,
6,retainer,,,,K-01,N-07,0.0,,,,,,
6,retainer,,,,K-02,N-11,0.0,,,,,,
6,defend_win,K-01,,,,N-07,,M-12,55.0,0.95,,,
6,defend_win,K-01,,,,N-07,,M-19,60.0,0.95,,,
7,trade,K-01,100.0,5.0,,,,,,,,,
7,trade,K-02,100.0,5.0,,,,,,,,,
7,retainer,,,,K-01,N-07,0.0,,,,,,
7,retainer,,,,K-02,N-11,0.0,,,,,,
7,defend_win,K-01,,,,N-07,,M-12,66.0,0.95,,,
7,defend_win,K-01,,,,N-07,,M-19,73.0,0.95,,,
8,trait_drip,,,,,,,,,,K-01,copy,1.0
8,trait_drip,,,,,,,,,,K-02,copy,1.0
8,trade,K-01,100.0,5.0,,,,,,,,,
8,trade,K-02,100.0,5.0,,,,,,,,,
8,retainer,,,,K-01,N-07,0.0,,,,,,
8,retainer,,,,K-02,N-11,0.0,,,,,,
8,defend_win,K-01,,,,N-07,,M-12,80.0,0.95,,,
8,defend_win,K-01,,,,N-07,,M-19,88.0,0.95,,,
9,trade,K-01,100.0,5.0,,,,,,,,,
9,trade,K-02,100.0,5.0,,,,,,,,,
9,retainer,,,,K-01,N-07,0.0,,,,,,
9,retainer,,,,K-02,N-11,0.0,,,,,,
9,defend_win,K-01,,,,N-07,,M-12,97.0,0.95,,,
9,defend_win,K-01,,,,N-07,,M-19,107.0,0.95,,,
10,trait_drip,,,,,,,,,,K-01,copy,1.0
10,trait_drip,,,,,,,,,,K-02,copy,1.0
10,trade,K-01,100.0,5.0,,,,,,,,,
10,trade,K-02,100.0,5.0,,,,,,,,,
10,retainer,,,,K-01,N-07,0.0,,,,,,
10,retainer,,,,K-02,N-11,0.0,,,,,,
10,defend_win,K-01,,,,N-07,,M-12,118.0,0.95,,,
10,defend_win,K-01,,,,N-07,,M-19,129.0,0.95,,,
