id,role,currency,compute,copy,defend,raid,trade,sense,adapt,wealth_total,employer,retainer_fee,bribe_threshold,alive
M-00,mercenary,0,2,3,1,14,0,5,7,32,,0,0,True
N-00,knight,346,6,2,14,2,0,8,5,37,K-06,22,0,True
N-01,knight,16387076718376453557715751579335000982451800933701358369184193647609302250771502049852875208466572962349840532552512681542495735,6,4,18,3,0,8,5,44,K-00,25,0,True
K-00,king,24,0,0,32,0,24,0,0,56,,0,310,True
M-01,mercenary,0,3,4,2,14,0,9,6,38,,0,0,True
M-02,mercenary,0,2,6,5,14,4,9,7,47,,0,0,True
K-01,king,4,2,2,20,0,15,0,0,39,,0,481,True
M-03,mercenary,0,2,3,1,12,0,8,7,33,,0,0,True
M-04,mercenary,0,1,6,0,14,0,5,5,31,,0,0,True
M-05,mercenary,0,1,6,2,13,0,9,6,37,,0,0,True
M-06,mercenary,0,3,3,2,14,0,9,4,35,,0,0,True
M-07,mercenary,0,3,6,1,12,0,6,7,35,,0,0,True
M-08,mercenary,0,3,6,1,14,0,6,5,35,,0,0,True
M-09,mercenary,0,1,4,2,12,0,8,7,34,,0,0,True
M-10,mercenary,0,2,5,0,14,0,7,4,32,,0,0,True
M-11,mercenary,0,1,3,2,12,0,6,5,29,,0,0,True
M-12,mercenary,0,1,3,0,13,0,9,5,31,,0,0,True
N-02,knight,1442852572,6,2,18,77,0,10,5,118,K-07,21,0,True
M-13,mercenary,0,1,4,1,14,0,5,4,29,,0,0,True
M-14,mercenary,0,1,3,2,14,0,8,6,34,,0,0,True
M-15,mercenary,0,3,5,0,14,0,8,6,36,,0,0,True
M-16,mercenary,0,2,3,2,14,0,9,4,34,,0,0,True
M-17,mercenary,0,1,5,1,14,0,8,7,36,,0,0,True
N-03,knight,180611894,3,3,14,8,0,10,5,43,K-05,21,0,True
M-18,mercenary,0,3,4,1,13,0,6,5,32,,0,0,True
M-19,mercenary,0,1,6,2,14,0,5,6,34,,0,0,True
N-04,knight,259,3,4,19,2,0,7,6,41,K-02,29,0,True
K-02,king,25,0,5,16,0,9,0,0,30,,0,476,True
N-05,knight,340,6,2,18,1,0,10,7,44,K-01,21,0,True
M-20,mercenary,0,3,6,2,14,0,5,7,37,,0,0,True
N-06,knight,364,5,4,17,1,0,8,4,39,K-01,23,0,True
N-07,knight,250,6,2,13,1,0,10,7,39,K-09,25,0,True
